ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-193,Hamilton County,Texas,66.4,1.7,115,64.7
TX-195,Hansford County,Texas,58.7,1.9,116,56.8
TX-197,Hardeman County,Texas,63.6,1.5,110,62.1
TX-199,Hardin County,Texas,68.9,1.9,123,67
TX-201,Harris County,Texas,71.3,2.9,126,68.4
TX-203,Harrison County,Texas,65.2,0,57,65.2
TX-205,Hartley County,Texas,57.7,2.3,121,55.4
TX-207,Haskell County,Texas,64.4,0.8,93,63.6
TX-209,Hays County,Texas,68.8,1.9,118,66.9
TX-211,Hemphill County,Texas,59.2,1.5,106,57.7
TX-213,Henderson County,Texas,65.2,0.1,72,65.1
TX-215,Hidalgo County,Texas,76,2.3,124,73.8
TX-217,Hill County,Texas,66.5,0.7,94,65.8
TX-219,Hockley County,Texas,60.8,1.9,119,58.8
TX-221,Hood County,Texas,66.1,1,103,65.1
TX-223,Hopkins County,Texas,64.8,1.3,103,63.5
TX-225,Houston County,Texas,67.1,0.9,97,66.2
TX-227,Howard County,Texas,64.5,1.1,102,63.4
TX-229,Hudspeth County,Texas,63.7,3.2,128,60.5
TX-231,Hunt County,Texas,64.9,1.5,106,63.5
TX-233,Hutchinson County,Texas,60.8,3,125,57.8
TX-235,Irion County,Texas,66.2,2.3,123,63.9
TX-237,Jack County,Texas,64,0.6,87,63.4
TX-239,Jackson County,Texas,72.3,3.3,127,69
TX-241,Jasper County,Texas,68.1,2,123,66.1
TX-243,Jeff Davis County,Texas,63.2,3.1,126,60.1
TX-245,Jefferson County,Texas,70.2,2.2,124,68
TX-247,Jim Hogg County,Texas,74.4,2.3,119,72.1
TX-249,Jim Wells County,Texas,73.8,2.4,122,71.3
TX-251,Johnson County,Texas,66.1,0.8,98,65.3
TX-253,Jones County,Texas,64.7,0.8,93,63.9
TX-255,Karnes County,Texas,71.8,2.3,126,69.5
TX-257,Kaufman County,Texas,65.8,0.6,94,65.1
TX-259,Kendall County,Texas,67.6,1.6,116,66
TX-261,Kenedy County,Texas,75.1,2.8,124,72.3
TX-263,Kent County,Texas,64.5,1.6,113,62.9
TX-265,Kerr County,Texas,66.3,1.7,118,64.6
TX-267,Kimble County,Texas,66.4,2.3,122,64.1
TX-269,King County,Texas,64.5,1.6,115,62.8
TX-271,Kinney County,Texas,71.4,2.6,127,68.8
TX-273,Kleberg County,Texas,74.8,3.4,126,71.4
TX-275,Knox County,Texas,64.6,1.2,107,63.3
TX-277,Lamar County,Texas,63.9,1,97,63
TX-279,Lamb County,Texas,59.6,2,121,57.7
TX-281,Lampasas County,Texas,67,1.5,112,65.4
TX-283,La Salle County,Texas,72.5,1.6,116,70.9
TX-285,Lavaca County,Texas,72,3.6,127,68.5
TX-287,Lee County,Texas,69.3,2.2,120,67
TX-289,Leon County,Texas,66.8,0.7,96,66.1
TX-291,Liberty County,Texas,70.2,2.4,124,67.7
TX-293,Limestone County,Texas,66.6,0.9,97,65.7
TX-295,Lipscomb County,Texas,58.1,1.2,100,57
TX-297,Live Oak County,Texas,72.4,1.8,119,70.6
TX-299,Llano County,Texas,67.8,1.8,118,66
TX-301,Loving County,Texas,66.7,3.2,126,63.5
TX-303,Lubbock County,Texas,61.6,2.3,120,59.3
TX-305,Lynn County,Texas,62.3,1.6,111,60.7
TX-307,McCulloch County,Texas,66.7,2.2,121,64.5
TX-309,McLennan County,Texas,67.1,1.3,108,65.8
TX-311,McMullen County,Texas,72.2,1.5,113,70.7
TX-313,Madison County,Texas,67.8,1.2,107,66.7
TX-315,Marion County,Texas,64.8,0,57,64.8
TX-317,Martin County,Texas,64.6,1.8,116,62.9
TX-319,Mason County,Texas,66.8,1.8,119,65
TX-321,Matagorda County,Texas,71.8,2.7,126,69.1
TX-323,Maverick County,Texas,73,2.6,128,70.4
TX-325,Medina County,Texas,70.3,2,118,68.3
TX-327,Menard County,Texas,66.1,2.5,123,63.6
TX-329,Midland County,Texas,66,2.7,122,63.3
TX-331,Milam County,Texas,68.4,2.2,119,66.2
TX-333,Mills County,Texas,66.3,1.7,115,64.7
TX-335,Mitchell County,Texas,65.3,1.7,117,63.5
TX-337,Montague County,Texas,63.9,0.8,93,63.2
TX-339,Montgomery County,Texas,70.1,2.6,123,67.5
TX-341,Moore County,Texas,59.3,2.7,124,56.6
TX-343,Morris County,Texas,64.8,1,100,63.8
TX-345,Motley County,Texas,62.7,1.5,111,61.2
TX-347,Nacogdoches County,Texas,66.5,0.9,99,65.6
TX-349,Navarro County,Texas,66.4,0.7,93,65.8
TX-351,Newton County,Texas,68.2,2.1,123,66.1
TX-353,Nolan County,Texas,64.6,1.8,113,62.8
TX-355,Nueces County,Texas,74.1,2.9,125,71.2
TX-357,Ochiltree County,Texas,58.2,1.3,103,56.9
TX-359,Oldham County,Texas,58.8,2.3,123,56.6
TX-361,Orange County,Texas,69.5,2.1,124,67.4
TX-363,Palo Pinto County,Texas,65.3,1,101,64.2
TX-365,Panola County,Texas,65.8,0.3,83,65.4
TX-367,Parker County,Texas,65.2,0.7,95,64.5
TX-369,Parmer County,Texas,58.7,2.6,120,56.1
TX-371,Pecos County,Texas,66.9,3.1,127,63.8
TX-373,Polk County,Texas,68.3,1.6,119,66.7
TX-375,Potter County,Texas,59.7,2.6,124,57
TX-377,Presidio County,Texas,66.4,2.9,124,63.5
TX-379,Rains County,Texas,64.9,1,96,63.9
TX-381,Randall County,Texas,58.9,2.3,119,56.6
TX-383,Reagan County,Texas,66.3,2.7,125,63.6
TX-385,Real County,Texas,67.5,2.1,123,65.4
TX-387,Red River County,Texas,64.2,1.4,113,62.7
TX-389,Reeves County,Texas,67,3.3,127,63.7
TX-391,Refugio County,Texas,73.2,3,128,70.2
TX-393,Roberts County,Texas,59.9,2.2,119,57.6
TX-395,Robertson County,Texas,67.7,1.4,113,66.3
TX-397,Rockwall County,Texas,65.6,1.2,104,64.4
TX-399,Runnels County,Texas,65.5,1.3,110,64.2
TX-401,Rusk County,Texas,65.7,0.4,84,65.3
TX-403,Sabine County,Texas,67.7,2.3,124,65.4
TX-405,San Augustine County,Texas,67.4,1.8,122,65.6
TX-407,San Jacinto County,Texas,69,1.9,121,67.2
TX-409,San Patricio County,Texas,73.3,2.4,123,70.9
TX-411,San Saba County,Texas,67.2,2.1,122,65.1
TX-413,Schleicher County,Texas,66,2.3,123,63.7
TX-415,Scurry County,Texas,64.6,1.8,118,62.8
TX-417,Shackelford County,Texas,64.8,0.9,95,64
TX-419,Shelby County,Texas,66.1,0.8,98,65.3
TX-421,Sherman County,Texas,58,2,119,56
TX-423,Smith County,Texas,65.3,0.6,93,64.7
TX-425,Somervell County,Texas,66.3,1,104,65.3
TX-427,Starr County,Texas,75.6,2.2,120,73.4
TX-429,Stephens County,Texas,64.6,0.7,90,63.9
TX-431,Sterling County,Texas,65.4,2,118,63.4
TX-433,Stonewall County,Texas,64.6,1.2,103,63.4
TX-435,Sutton County,Texas,66.6,2.4,123,64.1
TX-437,Swisher County,Texas,59.4,1.9,120,57.5
TX-439,Tarrant County,Texas,66.2,0.8,98,65.3
TX-441,Taylor County,Texas,64.5,1,101,63.5
TX-443,Terrell County,Texas,68.4,2.4,123,66.1
TX-445,Terry County,Texas,61.8,1.7,118,60.1
TX-447,Throckmorton County,Texas,64.5,0.9,93,63.7
TX-449,Titus County,Texas,65.1,1.6,113,63.5
TX-451,Tom Green County,Texas,66.3,1.9,118,64.4
TX-453,Travis County,Texas,69,2,118,67.1
TX-455,Trinity County,Texas,67.8,1.3,114,66.5
TX-457,Tyler County,Texas,67.9,1.6,118,66.3
TX-459,Upshur County,Texas,64.9,0.5,90,64.4
TX-461,Upton County,Texas,67,2.6,122,64.3
TX-463,Uvalde County,Texas,70.5,2,122,68.4
TX-465,Val Verde County,Texas,69.6,2.1,124,67.5
TX-467,Van Zandt County,Texas,64.9,0.5,86,64.4
TX-469,Victoria County,Texas,72.8,3.3,127,69.4
TX-471,Walker County,Texas,68.5,1.5,119,67
TX-473,Waller County,Texas,70.3,2.4,122,67.9
TX-475,Ward County,Texas,67.6,3.3,126,64.4
TX-477,Washington County,Texas,69.5,2,119,67.5
TX-479,Webb County,Texas,73.4,1.8,117,71.6
TX-481,Wharton County,Texas,71.7,3,126,68.7
TX-483,Wheeler County,Texas,60.4,2,117,58.4
TX-485,Wichita County,Texas,63.8,0.8,94,63
TX-487,Wilbarger County,Texas,63.8,1,100,62.7
TX-489,Willacy County,Texas,75.4,2.3,122,73.1
TX-491,Williamson County,Texas,68.3,1.9,116,66.4
TX-493,Wilson County,Texas,71,1.8,121,69.1
TX-495,Winkler County,Texas,66.3,3,125,63.3
TX-497,Wise County,Texas,64.8,0.9,96,63.9
TX-499,Wood County,Texas,64.9,1,96,64
TX-501,Yoakum County,Texas,61.1,2.1,118,59
TX-503,Young County,Texas,64.4,0.8,98,63.6
TX-505,Zapata County,Texas,74.9,1.9,117,73
TX-507,Zavala County,Texas,72.3,2.2,121,70.1
